Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Jaidon Anthony,Bournemouth,AM(LR),9,1000,3,0,2,0,0.9,77.6,0.4,0,6.37
Erik Palmer-Brown,Troyes,D(C),26,2294,0,0,4,0,0.3,84.1,1.5,0,6.37
Andrea Colpani,Monza,Midfielder,4,529,2,0,1,0,0.9,84.3,0.2,0,6.37
Souleyman Doumbia,Angers,"D(L),M(L)",21,1720,0,0,2,1,0.3,80.2,0.7,0,6.37
Oumar Gonzalez,AC Ajaccio,D(C),21,1859,0,0,8,0,0.4,82.0,2.1,0,6.37
Rayan Raveloson,Auxerre,"D(C),DMC",17,1546,1,0,0,0,0.7,84.2,0.7,1,6.37
Helibelton Palacios,Elche,D(CR),19,1606,0,0,6,0,0.2,77.4,0.9,0,6.37
Abdoulaye Doucouré,Everton,M(C),10,931,2,2,5,0,0.6,79.9,0.6,0,6.37
Philippe Coutinho,Aston Villa,M(CLR),7,783,1,0,3,0,1.1,78.5,0.2,0,6.37
Mitchell van Bergen,Reims,"AM(LR),FW",5,747,0,1,1,0,1.0,78.7,0.2,0,6.37
Romain Hamouma,AC Ajaccio,"M(CLR),FW",11,862,2,2,1,2,1.0,82.1,0.5,0,6.37
Denis Huseinbasic,FC Koln,AM(C),7,680,3,1,2,0,0.9,79.3,0.4,0,6.37
Alberto Moreno,Villarreal,"D(L),M(L)",10,848,0,0,5,0,0.6,83.6,0.6,0,6.37
Gerrit Holtmann,Bochum,"D(L),M(LR)",8,847,1,1,0,0,1.4,69.3,0.8,0,6.36
Raúl García,Athletic Bilbao,"M(CLR),FW",5,696,2,2,2,0,1.5,66.3,0.8,0,6.36
Fredrik Jensen,Augsburg,"AM(CL),FW",7,788,2,1,1,0,0.6,57.9,1.1,0,6.36
Divock Origi,AC Milan,"AM(LR),FW",6,689,2,1,1,0,1.1,70.6,0.6,1,6.36
Orel Mangala,Nottingham Forest,M(C),11,763,0,0,1,0,0.4,82.1,0.4,0,6.36
Dominick Drexler,Schalke,AM(CLR),12,1019,3,3,2,1,0.7,67.8,0.8,1,6.36
Unai García,Osasuna,D(C),16,1365,0,1,6,1,0.2,79.8,1.6,0,6.36
Fábio Vieira,Arsenal,"AM(CR),FW",2,400,1,2,0,0,0.8,85.6,0.1,0,6.36
Habib Diarra,Strasbourg,M(C),9,896,0,0,1,0,0.6,77.7,0.3,0,6.36
Chumi,Almeria,D(C),10,1015,1,0,4,0,0.1,83.3,0.5,0,6.36
Robin Gosens,Inter,"D(L),M(CL)",5,646,1,0,1,0,0.6,78.2,0.6,0,6.36
Mathieu Coutadeur,AC Ajaccio,M(C),15,1345,0,0,0,0,0.2,84.6,0.5,0,6.35
Iddrisu Baba,Mallorca,DMC,14,1146,0,0,4,0,0.4,83.6,1.1,0,6.35
Ilia Gruev,Werder Bremen,DMC,15,1309,0,0,1,0,0.2,87.2,0.6,0,6.35
Lassine Sinayoko,Auxerre,AM(R),14,1294,0,2,0,1,1.2,77.5,0.7,0,6.35
Kristian Thorstvedt,Sassuolo,M(C),12,1003,2,1,4,0,0.7,77.6,1.0,0,6.35
Amine Salama,Angers,FW,12,1245,3,1,1,0,1.0,75.9,0.3,0,6.35
Billal Brahimi,Nice,Forward,3,536,3,2,0,0,0.8,82.3,0.1,1,6.35
Mikkel Damsgaard,Brentford,AM(CL),4,515,0,0,2,0,0.4,71.2,0.3,0,6.35
Darko Brasanac,Osasuna,M(CR),8,999,1,1,5,0,0.4,82.3,0.6,0,6.35
Moussa Diarra,Toulouse,D(CL),10,1043,0,1,0,0,0.1,84.5,0.8,0,6.35
Gabriel Paulista,Valencia,D(CR),11,878,1,0,2,1,0.8,85.7,2.1,0,6.35
Largie Ramazani,Almeria,FW,12,1185,3,0,4,0,1.4,71.9,0.1,0,6.35
José Machín,Monza,M(C),9,861,0,1,4,0,0.4,83.8,0.3,0,6.35
Ibrahima Koné,Lorient,FW,8,957,3,1,2,0,0.5,65.3,1.6,0,6.35
Patrick Bamford,Leeds,"AM(CLR),FW",11,960,2,2,1,0,1.6,73.7,1.1,0,6.35
Iago,Augsburg,"D(L),M(L)",15,1326,0,1,2,1,0.5,62.9,0.6,0,6.35
Samuele Birindelli,Monza,M(R),13,1089,0,1,6,0,0.6,74.4,0.2,0,6.35
Khalil Fayad,Montpellier,DMC,5,534,0,2,1,1,0.3,84.0,0.1,0,6.35
Dimitrios Nikolaou,Spezia,D(C),24,2139,0,0,8,1,0.3,82.9,0.8,0,6.34
Moussa Dembélé,Lyon,FW,8,832,3,0,1,0,1.3,72.6,1.3,0,6.34
Pavel Kaderábek,Hoffenheim,"D(R),M(LR)",12,1234,1,0,1,0,0.3,68.4,1.0,0,6.34
Tanguy Nianzou,Sevilla,D(C),15,1235,1,0,1,1,0.4,88.2,1.6,0,6.34
Nampalys Mendy,Leicester,M(C),6,608,1,0,1,0,0.1,89.3,0.2,0,6.34
Oliver Christensen,Hertha Berlin,GK,25,2250,0,0,1,0,0.0,60.6,0.2,1,6.34
Johan Mojica,Villarreal,"D(L),M(L)",5,607,0,0,0,0,0.1,87.6,0.5,0,6.34
Nedim Bajrami,Empoli,AM(C),8,931,1,1,1,0,1.1,80.0,0.1,0,6.34
Sam Greenwood,Leeds,M(C),2,329,1,2,1,0,0.7,65.6,0.1,0,6.34
Rafael Borré,Eintracht Frankfurt,FW,6,681,2,2,2,0,0.7,73.5,0.6,0,6.34
Dennis Appiah,Nantes,"D(CLR),M(R)",9,796,0,0,1,0,0.3,75.9,1.1,0,6.34
Franck Kessié,Barcelona,M(C),4,595,1,1,4,0,0.6,85.9,0.2,0,6.34
Cyriel Dessers,Cremonese,FW,16,1342,5,1,3,0,2.0,63.9,0.5,0,6.34
Takehiro Tomiyasu,Arsenal,D(CLR),6,656,0,1,2,0,0.1,82.5,0.8,0,6.34
Yussuf Poulsen,RBL,"AM(R),FW",3,345,1,1,1,0,0.4,56.4,1.2,0,6.34
Riad Nouri,AC Ajaccio,M(LR),12,1277,1,1,3,0,0.6,73.1,0.5,0,6.33
Joan Jordán,Sevilla,M(C),17,1409,0,1,6,0,0.6,88.9,0.5,0,6.33
Jon Moncayola,Osasuna,"D(R),M(C)",18,1727,0,0,4,0,1.2,83.2,0.6,0,6.33
Pierrick Capelle,Angers,"D(L),M(CLR)",12,1134,0,2,8,0,0.7,86.8,0.5,0,6.33
Taiwo Awoniyi,Nottingham Forest,FW,9,733,4,0,0,0,1.2,74.2,0.4,0,6.33
Andreas Bruus,Troyes,"D(R),M(R)",14,1273,0,2,2,0,0.3,72.9,0.1,0,6.33
Emmanuel Dennis,Nottingham Forest,"M(LR),FW",4,547,2,1,3,0,0.9,70.6,0.6,0,6.33
Cédric Hountondji,Angers,D(C),27,2452,0,0,5,0,0.3,86.5,1.6,0,6.33
Moise Kean,Juventus,"AM(LR),FW",9,807,5,0,4,1,1.4,73.8,0.3,1,6.33
Jeison Murillo,Sampdoria,D(C),10,829,0,0,3,0,0.1,82.1,1.8,0,6.33
