Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Isi Palazón,"Rayo Vallecano,",", AM(R)",24(1),2020,6,5,4,-,2.5,80,0.9,-,7.05
Diogo Dalot,"Man Utd,",", D(LR),M(R)",17(1),1522,-,2,5,-,0.9,78.7,1.8,2,7.05
João Cancelo,"Man City,",", D(LR),M(R)",16(1),1279,2,1,3,1,1,86.8,1.6,1,7.04
Jordi Masip,"Real Valladolid,",", GK",17,1518,-,-,2,-,-,67.8,0.4,1,7.04
Danilo,"Juventus,",", D(CLR),DMC",26(1),2352,3,3,4,-,0.7,84,1.3,1,7.04
Ellyes Skhiri,"FC Koln,",", DMC",24,2137,5,1,4,-,1,88.1,1.2,2,7.04
Achraf Hakimi,"PSG,",", D(LR),M(R)",16(5),1506,4,3,5,-,0.7,89.4,0.3,-,7.04
Ethan Pinnock,"Brentford,",", D(C)",19,1710,1,-,-,-,0.5,77,3.9,1,7.04
Teun Koopmeiners,"Atalanta,",", D(C),M(C)",23(1),2051,6,3,5,-,1.8,78.9,1,1,7.03
Thiago Silva,"Chelsea,",", D(C)",20(1),1812,-,2,1,-,0.5,90.7,2,1,7.03
Ben Mee,"Brentford,",", D(CL)",26,2290,3,1,2,-,0.7,75.7,3.9,2,7.03
João Palhinha,"Fulham,",", DMC",24,2138,3,-,10,-,1.3,81.5,2.1,2,7.03
Florian Kainz,"FC Koln,",", AM(CLR)",22(1),1686,5,6,2,1,1.7,70.5,0.4,2,7.03
Malo Gusto,"Lyon,",", D(R),M(R)",17,1448,-,1,1,-,0.4,85.2,0.5,1,7.03
Daniel Parejo,"Villarreal,",", M(C)",26,2299,1,3,3,-,0.7,89.9,0.4,2,7.03
Borna Sosa,"Stuttgart,",", D(L),M(L)",15(3),1350,2,6,5,-,0.7,80,0.7,2,7.02
Felipe Anderson,"Lazio,",", M(CLR),FW",25(2),2114,6,2,1,-,1.1,78.7,0.4,2,7.02
Nabil Bentaleb,"Angers,",", M(C)",22(1),1906,3,3,2,1,1.2,85.1,1,4,7.02
Jean-Ricner Bellegarde,"Strasbourg,",", M(CLR)",19(1),1626,1,5,3,-,1.1,80.7,0.8,3,7.02
José Gayà,"Valencia,",", D(L),M(L)",20,1726,1,2,4,-,0.7,81.5,0.8,3,7.02
Yehvann Diouf,"Reims,",", GK",21,1890,-,-,2,-,-,74.1,0.5,1,7.02
Raphinha,"Barcelona,",", AM(LR),FW",15(10),1358,6,4,5,-,2.1,80.4,0.3,4,7.02
Javi Galán,"Celta Vigo,",", D(L),M(L)",25(1),2260,-,2,3,-,0.3,78.7,1,5,7.02
