Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
James Justin,"Leicester,",", D(CLR),M(LR)",14,1254,-,-,-,-,0.4,81.5,1.6,-,6.74
MBala Nzola,"Spezia,",", FW",22(1),1988,12,2,5,-,2.2,80.1,1.3,3,6.74
David López,"Girona,",", D(C),DMC",13(1),1160,2,1,4,-,0.6,90.2,1.8,2,6.74
Marcos Acuña,"Sevilla,",", D(CL),M(CL)",15(6),1330,2,1,7,1,0.8,81.6,1,1,6.74
Christopher Trimmel,"Union Berlin,",", D(CR),M(R)",16(3),1467,-,5,1,-,0.6,65.7,0.8,-,6.74
Melvin Bard,"Nice,",", D(L),M(L)",19(4),1724,-,-,5,-,0.2,80.9,1,-,6.74
Ozan Kabak,"Hoffenheim,",", D(C)",22,1854,2,2,7,2,1,84,3,1,6.74
Mikkel Desler,"Toulouse,",", D(R)",19(1),1657,1,2,2,1,0.4,86.1,0.7,1,6.74
Ola Aina,"Torino,",", D(CLR),M(LR)",9(7),809,1,1,5,-,0.4,76.9,0.8,2,6.74
Davide Calabria,"AC Milan,",", D(LR),M(R)",13(2),1020,1,2,4,-,0.5,81.1,0.3,-,6.74
Michele Di Gregorio,"Monza,",", GK",26,2340,-,-,-,-,-,71.7,0.2,1,6.73
Anthony Caci,"Mainz,",", D(CLR),M(L)",16(6),1442,2,1,2,-,0.4,74.7,0.8,-,6.73
Lazar Samardzic,"Udinese,",", M(C)",9(17),1041,4,3,-,-,1.4,86.1,0.3,1,6.73
Marten de Roon,"Atalanta,",", D(C),DMC",23(1),1976,1,1,5,-,0.5,83.4,1.6,-,6.73
Azzedine Ounahi,"Angers,",", AM(CR)",13(2),1137,-,-,1,-,1.5,88.3,0.3,-,6.73
Facundo Medina,"Lens,",", D(CL)",23,1974,1,3,5,-,0.5,90.6,1,1,6.73
Tyler Adams,"Leeds,",", D(R),M(CR)",24,2157,-,-,4,1,0.2,82.4,1.1,-,6.73
Antony,"Man Utd,",", AM(R)",13(1),1080,3,-,4,-,2.6,80.8,0.2,-,6.73
Adam Marusic,"Lazio,",", D(CLR),M(LR)",25(1),2280,-,2,5,1,0.6,88,1,-,6.73
Andreas Pereira,"Fulham,",", M(CLR)",27,2260,2,6,7,-,1.6,72.1,0.3,2,6.73
Edgar González,"Real Betis,",", D(C),DMC",13(5),1234,-,-,4,1,0.3,89,2.3,-,6.73
Callum Wilson,"Newcastle,",", FW",15(4),1248,7,3,3,-,2.3,72.3,0.7,1,6.73
Raheem Sterling,"Chelsea,",", M(CLR),FW",16(3),1349,4,2,3,-,1.5,78.2,0.1,1,6.73
Emerson Royal,"Tottenham,",", D(R),M(R)",16(6),1392,2,1,2,1,0.7,82.5,0.9,1,6.73
Maxime Dupé,"Toulouse,",", GK",28,2520,-,-,1,-,-,75.7,0.1,1,6.73
André Onana,"Inter,",", GK",17,1530,-,-,1,-,-,77.8,0.1,1,6.72
Pablo Maffeo,"Mallorca,",", D(R),M(R)",23(1),1994,1,3,4,1,0.7,72.3,1.3,2,6.72
Mason Mount,"Chelsea,",", M(CLR)",20(3),1642,3,2,4,-,1.4,80.3,0.4,2,6.72
Sergio Canales,"Real Betis,",", M(CLR)",19(2),1648,4,2,2,1,1.3,81.2,0.4,1,6.72
Stefano Sensi,"Monza,",", AM(C)",17(3),1313,3,-,5,-,0.8,88.1,0.4,1,6.72
Unai Núñez,"Celta Vigo,",", D(C)",24,2160,-,-,6,-,0.4,86.5,1.8,1,6.72
Borja Iglesias,"Real Betis,",", FW",22(2),1782,12,3,1,1,2,74.5,0.7,1,6.72
Federico Baschirotto,"Lecce,",", D(C)",26,2340,3,-,5,-,0.5,73.9,2.3,-,6.72
João Félix,"Atletico,",", AM(CL),FW",7(7),651,4,3,5,-,1.9,77.3,0.5,1,6.72
Alex Meret,"Napoli,",", GK",26,2340,-,-,-,-,-,84.6,0.1,1,6.72
Marquinhos,"PSG,",", D(CR),DMC",22(2),1990,2,-,2,-,0.5,95.4,1,-,6.72
Allan Saint-Maximin,"Newcastle,",", AM(CLR),FW",9(9),866,1,3,1,-,1.2,73.6,0.1,1,6.72
Niklas Schmidt,"Werder Bremen,",", AM(C)",9(8),910,2,-,2,-,0.9,75.8,0.7,1,6.72
Morgan Gibbs-White,"Nottingham Forest,",", AM(CLR),FW",23(1),2010,2,5,3,-,1.8,70.5,1.3,3,6.72
Marko Arnautovic,"Bologna,",", AM(CLR),FW",14(2),1237,8,-,5,-,1.5,72.9,0.6,1,6.72
Alex Sandro,"Juventus,",", D(CL),M(L)",17(4),1456,-,1,4,1,0.2,88.1,1.6,-,6.72
Ben Chilwell,"Chelsea,",", D(L),M(L)",9(7),873,2,2,1,-,0.6,81.9,1.4,-,6.72
Jonas Wind,"Wolfsburg,",", AM(C),FW",8(7),693,4,-,-,-,1.2,67.2,2.8,1,6.72
Ethan Ampadu,"Spezia,",", D(C),DMC",21,1816,-,1,5,-,0.6,79,2.2,1,6.72
Jeffrey Gouweleeuw,"Augsburg,",", D(C)",24,2097,-,1,9,-,0.6,67.7,2.4,-,6.72
Alexander Nübel,"Monaco,",", GK",28,2520,-,-,2,-,-,70.9,0.2,1,6.71
Alex Berenguer,"Athletic Bilbao,",", D(LR),M(CLR),FW",19(6),1640,3,1,-,-,1.6,75.7,1.1,-,6.71
Beto,"Udinese,",", FW",19(8),1713,9,1,2,-,1.6,65.7,2.1,3,6.71
Joseph Aidoo,"Celta Vigo,",", D(C)",26,2324,2,-,4,-,0.4,85.5,1.7,1,6.71
Youssouf Sabaly,"Real Betis,",", D(LR),M(R)",14(4),1275,-,1,1,-,0.4,84.1,0.3,-,6.71
Mario Lemina,"Nice,",", DMC",11(3),844,-,-,1,1,0.4,90,0.4,-,6.71
Evan Ndicka,"Eintracht Frankfurt,",", D(CL)",24,2153,1,-,4,-,0.6,85.9,2.8,1,6.71
Elye Wahi,"Montpellier,",", AM(L),FW",21(3),1842,12,1,5,1,1.8,69.4,0.6,2,6.71
Moi Gómez,"Osasuna,",", M(CLR)",25(1),2120,1,2,4,-,0.5,88.6,0.2,-,6.71
Aleksey Miranchuk,"Torino,",", M(CR),FW",18(2),1521,4,4,-,-,1.4,82.3,0.3,-,6.71
Arnaud Kalimuendo,"Rennes,",", FW",18(3),1378,7,2,-,-,1.5,83.7,0.5,1,6.71
Lewis Ferguson,"Bologna,",", M(C)",18(3),1546,4,-,4,-,1.4,83.9,0.9,2,6.71
Youssoufa Moukoko,"Borussia Dortmund,",", FW",11(7),949,6,3,-,-,1.6,72.3,0.3,1,6.71
Ko Itakura,"Borussia M.Gladbach,",", D(C),DMC",15(1),1315,-,2,-,1,0.6,91.6,2,-,6.71
John McGinn,"Aston Villa,",", M(CR)",19(4),1708,-,2,5,-,1.2,80.4,0.7,1,6.71
Lucas Chevalier,"Lille,",", GK",22,1980,-,-,1,-,-,75.3,0.1,-,6.71
Patrick Ciurria,"Monza,",", M(CR)",20(5),1788,4,4,2,-,1.4,82.2,0.3,2,6.71
Niklas Süle,"Borussia Dortmund,",", D(CR)",16(5),1421,1,3,1,-,0.9,90.5,1,-,6.71
Fabián Ruiz,"PSG,",", M(CL)",16(3),1330,1,1,-,-,0.8,91.5,0.2,-,6.70
Thijs Dallinga,"Toulouse,",", FW",21(6),1665,10,1,4,-,1.5,68.2,1.6,1,6.70
Montassar Talbi,"Lorient,",", D(C)",28,2520,1,1,-,-,0.3,89.9,2.1,-,6.70
Amadou Onana,"Everton,",", DMC",24(2),2072,1,1,7,-,1,83.4,2,-,6.70
Jordan Pickford,"Everton,",", GK",27,2430,-,1,5,-,-,53.5,0.2,2,6.70
Faitout Maouassa,"Montpellier,",", D(L),M(LR)",19(6),1564,3,5,-,-,1,69,0.4,-,6.70
Djibril Sow,"Eintracht Frankfurt,",", M(C)",22(2),1956,3,-,6,-,0.8,85.8,0.8,-,6.70
Nicolás González,"Fiorentina,",", M(CLR),FW",9(8),905,4,1,3,-,2.1,68.5,2.4,1,6.70
Julien Laporte,"Lorient,",", D(C)",18,1543,-,-,1,-,0.3,85.1,1.7,-,6.70
Lorenzo Montipò,"Verona,",", GK",26,2340,-,-,-,-,-,59.4,0.1,-,6.70
Riccardo Orsolini,"Bologna,",", M(CR),FW",16(7),1529,7,3,4,1,2.7,67.9,0.5,3,6.70
Micky van de Ven,"Wolfsburg,",", D(CL)",25,2250,1,1,4,-,0.5,87.9,1.2,1,6.70
Lukasz Fabianski,"West Ham,",", GK",24,2034,-,-,-,-,-,58.1,0.5,-,6.70
Rodrigo De Paul,"Atletico,",", AM(CLR),FW",14(5),1121,1,3,4,-,0.5,84.9,0.3,2,6.70
Leonardo Balerdi,"Marseille,",", D(C)",24(3),2067,-,1,5,1,0.1,84.7,1.7,-,6.70
Maya Yoshida,"Schalke,",", D(CR)",25,2239,-,-,3,-,0.2,76.8,2.6,-,6.70
Leandro Barreiro,"Mainz,",", DMC",17(6),1500,2,3,4,-,1,69.1,1.1,1,6.70
Mikel Vesga,"Athletic Bilbao,",", DMC",20(5),1825,3,2,4,-,0.8,83.5,1.9,-,6.70
Darko Lazovic,"Verona,",", M(CLR)",22(1),1805,3,4,-,-,1.6,70,0.2,2,6.70
Nathan Aké,"Man City,",", D(CL),DMC",17(4),1512,-,-,2,-,0.3,90.9,1.5,-,6.70
Eray Cömert,"Valencia,",", D(C)",17(3),1528,1,-,4,1,0.5,87.2,2.1,-,6.70
Rui Silva,"Real Betis,",", GK",20,1800,-,-,2,-,-,63.5,0.2,1,6.70
El Bilal Touré,"Almeria,",", FW",14(5),1180,6,2,-,-,1.4,71.3,2.2,2,6.70
Rade Krunic,"AC Milan,",", M(CL)",11(4),1010,-,1,5,-,0.5,82.8,1,-,6.70
Álex Remiro,"Real Sociedad,",", GK",26,2340,-,-,1,-,-,69.7,0.2,-,6.70
Dominic Solanke,"Bournemouth,",", FW",21(1),1886,3,4,1,-,2.1,69,1.7,1,6.70
Kevin Akpoguma,"Hoffenheim,",", D(CR),M(R)",14(7),1380,-,-,8,-,0.3,78.1,2.1,-,6.70
Sofiane Diop,"Nice,",", AM(CLR)",12(6),1010,1,4,1,-,1.1,83,0.3,1,6.70
Deiver Machado,"Lens,",", M(L)",19(6),1703,3,1,4,1,0.5,85.4,0.5,2,6.70
Igor Zubeldia,"Real Sociedad,",", D(C),DMC",19(2),1709,1,1,4,-,0.2,86.6,2,1,6.70
Flavien Tait,"Rennes,",", M(CLR)",16(8),1431,2,2,2,-,0.8,85.5,0.2,1,6.70
Patric,"Lazio,",", D(CR),M(R)",12(2),1076,-,-,1,-,0.1,88.4,0.4,1,6.69
Hamza Sakhi,"Auxerre,",", AM(C)",18(5),1592,1,2,1,-,1.2,86.4,0.3,2,6.69
Giacomo Bonaventura,"Fiorentina,",", M(CLR)",18(5),1561,3,-,4,-,1.9,85.9,0.5,2,6.69
Dani Ceballos,"Real Madrid,",", M(CL)",10(9),819,-,1,4,-,0.4,91.6,0.1,-,6.69
Sinaly Diomandé,"Lyon,",", D(C)",15(1),1302,-,-,-,1,0.4,85.3,2.5,-,6.69
Yannick Carrasco,"Atletico,",", D(L),M(CLR),FW",15(9),1411,3,-,1,-,1.8,83.5,0.2,-,6.69
Joe Gomez,"Liverpool,",", D(CLR)",13(6),1281,-,-,3,-,0.2,86.3,2.2,-,6.69
Tiago Djaló,"Lille,",", D(CLR)",24(1),2022,2,-,7,-,0.6,93.1,1.1,1,6.69
Johan Gastien,"Clermont Foot,",", DMC",19(2),1707,2,2,6,-,0.6,83.8,0.4,1,6.69
Wladimiro Falcone,"Lecce,",", GK",27,2430,-,-,1,-,-,44.8,0.4,2,6.69
Angel Gomes,"Lille,",", M(CL),FW",26(1),2132,2,4,5,-,1.3,87.5,0.2,1,6.69
Jordan Siebatcheu,"Union Berlin,",", FW",15(7),1166,4,3,3,-,1.3,52.7,3.9,2,6.69
Nehuén Pérez,"Udinese,",", D(C)",24,2030,1,-,5,1,0.5,86.6,1,1,6.69
Emiliano Buendía,"Aston Villa,",", M(CLR)",18(9),1641,5,-,-,-,1.3,81.3,0.6,1,6.69
Fernando Martínez,"Almeria,",", GK",25,2206,-,-,2,-,-,67.1,-,1,6.69
Koke,"Atletico,",", M(CLR)",19(3),1614,-,3,4,-,0.5,88.1,0.4,-,6.69
Matteo Politano,"Napoli,",", AM(CLR),FW",12(10),973,3,3,1,-,1.2,80.8,0.1,-,6.69
Alejandro Catena,"Rayo Vallecano,",", D(C)",24,2160,1,1,8,1,0.4,83.1,2.4,-,6.69
Nabil Fekir,"Real Betis,",", AM(CLR),FW",12(3),970,2,2,5,1,1.7,84.7,0.5,-,6.69
Cheick Doucouré,"Crystal Palace,",", DMC",25,2035,-,2,9,1,1,82.6,0.6,-,6.69
Razvan Marin,"Empoli,",", M(C)",20(5),1843,2,2,6,-,1,85.3,0.4,1,6.69
Josko Gvardiol,"RBL,",", D(CL)",18(5),1665,1,-,1,-,0.4,89.6,1.3,-,6.69
Kyle Walker-Peters,"Southampton,",", D(LR),M(R)",20(1),1753,1,-,2,-,0.4,77,0.7,1,6.69
Marc Cucurella,"Chelsea,",", D(CL),M(L)",18(3),1441,-,2,3,-,0.3,85.9,0.6,-,6.69
Janis Blaswich,"RBL,",", GK",18,1620,-,-,-,-,-,87.7,0.5,1,6.69
Raúl Albiol,"Villarreal,",", D(C)",23,2016,-,-,6,-,0.1,88.8,1.7,-,6.69
Tom Krauß,"Schalke,",", DMC",25,2057,1,-,4,-,0.8,74.7,0.9,-,6.69
Santi Comesaña,"Rayo Vallecano,",", M(C)",18(6),1561,1,-,4,-,0.7,85.1,0.7,-,6.68
Andy Delort,"Nice,",", AM(R),FW",9(5),781,6,1,-,-,1.9,64.8,2,-,6.68
Chris Führich,"Stuttgart,",", M(CLR),FW",17(7),1510,4,-,2,-,1.5,80.8,-,-,6.68
Marco Friedl,"Werder Bremen,",", D(CL),M(L)",21,1787,-,-,6,1,0.1,83.7,1.3,-,6.68
Thiago Mendes,"Lyon,",", D(CR),M(CR)",18(5),1616,1,1,2,-,0.5,86.2,1.3,-,6.68
Henrikh Mkhitaryan,"Inter,",", M(CLR),FW",18(6),1552,3,1,3,-,1,88.4,0.3,1,6.68
Omar Marmoush,"Wolfsburg,",", AM(L),FW",12(12),1181,5,1,2,-,1.6,68.8,1.5,1,6.68
Jubal,"Auxerre,",", D(C)",25(2),2316,2,1,4,-,0.4,83.1,1.9,2,6.68
Óscar Trejo,"Rayo Vallecano,",", M(CLR),FW",21(3),1604,3,4,8,-,0.7,82.9,0.3,1,6.68
Danny Welbeck,"Brighton,",", AM(CLR),FW",14(5),1260,2,2,-,-,1.9,84.1,1.3,1,6.68
Gonzalo Plata,"Real Valladolid,",", AM(R)",15(7),1418,-,4,-,-,1,78.3,0.5,-,6.68
Ivan Perisic,"Tottenham,",", M(CLR),FW",17(9),1579,1,5,4,-,0.8,71.9,0.9,1,6.68
Martín Zubimendi,"Real Sociedad,",", DMC",24(1),2141,1,2,9,-,0.3,84.4,1.9,1,6.68
Anthony Rouault,"Toulouse,",", D(C)",28,2513,2,-,2,-,0.5,86.3,2.6,2,6.68
Oihan Sancet,"Athletic Bilbao,",", M(C),FW",23(2),1766,8,-,2,1,1.6,84.4,0.7,1,6.68
Alassane Plea,"Borussia M.Gladbach,",", AM(CLR),FW",16(5),1399,2,8,4,-,1.2,71.2,0.5,2,6.68
Mario Götze,"Eintracht Frankfurt,",", M(CLR),FW",24,2048,2,1,4,-,0.8,78.3,-,-,6.68
Brahim Díaz,"AC Milan,",", AM(CLR)",19(4),1324,4,3,2,-,1,82.2,0.1,-,6.68
Antonio Sanabria,"Torino,",", FW",17(5),1541,7,2,4,-,2,76.6,2,2,6.68
Thierry Correia,"Valencia,",", D(R),M(R)",18(2),1545,-,-,3,-,0.3,79.1,1,-,6.68
Jonas Omlin,"Montpellier,",", GK",14,1168,-,-,1,1,-,65.1,0.2,-,6.68
Samuel Umtiti,"Lecce,",", D(CL)",14(1),1215,-,-,5,-,0.3,83,1.7,-,6.68
Nick Pope,"Newcastle,",", GK",26,2272,-,-,3,1,-,57.7,0.1,1,6.68
Óscar Valentín,"Rayo Vallecano,",", DMC",19(4),1675,-,-,7,-,0.4,82,0.9,-,6.68
Kevin Behrens,"Union Berlin,",", FW",9(16),943,5,1,3,-,0.6,63.2,4.4,3,6.68
Farès Chaïbi,"Toulouse,",", AM(L)",18(8),1725,4,4,2,-,1.7,77,1,-,6.68
Bartlomiej Dragowski,"Spezia,",", GK",25,2138,-,-,1,-,-,63.5,0.3,6,6.67
Oliver Baumann,"Hoffenheim,",", GK",25,2250,-,-,1,-,-,76.9,0.5,1,6.67
Aaron Ramsdale,"Arsenal,",", GK",28,2520,-,-,-,-,-,63.7,0.2,1,6.67
Manuel Riemann,"Bochum,",", GK",25,2250,-,-,1,-,-,58.8,0.3,2,6.67
Maxence Lacroix,"Wolfsburg,",", D(C)",14(5),1302,1,-,-,-,0.2,86.7,2.1,1,6.67
Jacob Ramsey,"Aston Villa,",", AM(CLR)",20(4),1686,3,2,4,-,0.7,84.2,0.5,1,6.67
Mario Hermoso,"Atletico,",", D(CL)",12(2),1073,2,-,1,2,0.6,85.9,1.4,-,6.67
Nikola Vlasic,"Torino,",", AM(CLR),FW",21(2),1931,4,2,1,-,1.9,82.2,0.9,-,6.67
Vitaly Janelt,"Brentford,",", DMC",17(9),1586,3,1,1,-,0.4,79.3,1,1,6.67
Oriol Romeu,"Girona,",", DMC",22,1965,1,-,6,-,0.8,86.4,1.2,-,6.67
Issa Diop,"Fulham,",", D(C)",15(3),1413,1,-,2,-,0.2,85.5,1.3,-,6.67
Matteo Darmian,"Inter,",", D(CLR),M(LR)",18(4),1450,1,2,3,-,0.3,85.9,0.3,-,6.67
Jan Oblak,"Atletico,",", GK",24,2133,-,-,1,-,-,62.1,0.1,1,6.67
Moses Simon,"Nantes,",", M(CLR),FW",22(2),1828,5,3,3,-,1.1,73.2,0.3,1,6.67
Zakaria Aboukhlal,"Toulouse,",", AM(LR)",23(5),2001,6,5,3,-,2.2,73.7,0.3,1,6.67
Hans Hateboer,"Atalanta,",", D(R),M(R)",17,1402,1,1,7,-,0.7,81.7,1.4,1,6.67
Merih Demiral,"Atalanta,",", D(C)",14(8),1437,1,-,5,-,0.3,85.7,2.2,1,6.67
Aaron Cresswell,"West Ham,",", D(CL),M(L)",17(2),1579,-,-,2,-,0.4,83.2,1.4,-,6.67
Ainsley Maitland-Niles,"Southampton,",", D(LR),M(CLR)",9(6),960,-,-,3,-,0.1,80.5,0.7,-,6.67
Lorenzo Pirola,"Salernitana,",", D(C)",12(3),1082,1,-,3,-,0.4,80.8,2.1,2,6.67
Dominik Kohr,"Mainz,",", DMC",19(3),1602,2,-,6,-,1.1,72.5,1.1,-,6.67
Rasmus Højlund,"Atalanta,",", FW",14(9),1281,7,1,1,-,1.5,74.8,1,2,6.67
Denzel Dumfries,"Inter,",", D(R),M(R)",18(6),1566,1,3,4,-,1.1,78.5,1.3,-,6.67
Thomas Lemar,"Atletico,",", AM(CLR)",11(8),850,1,2,-,-,0.5,89.1,0.2,-,6.67
Edgar Badia,"Elche,",", GK",26,2340,-,-,2,-,-,64.1,0.2,2,6.67
Hiroki Ito,"Stuttgart,",", D(C)",22(1),1933,-,1,4,-,0.6,83.3,1,-,6.66
Janik Haberer,"Union Berlin,",", M(CLR),FW",21(2),1530,5,1,-,-,1,71.7,1.3,1,6.66
Norbert Gyömbér,"Salernitana,",", D(CR),DMC",15(4),1159,-,-,3,-,0.1,84.7,1.4,-,6.66
Nemanja Gudelj,"Sevilla,",", D(C),M(C)",22(1),1964,3,-,6,-,1.4,92.1,1.3,2,6.66
Arthur Theate,"Rennes,",", D(C)",27,2423,2,-,3,-,0.6,90.5,2.1,1,6.66
Gonzalo Melero,"Almeria,",", M(C),FW",14(2),1140,3,3,3,-,1.1,88.1,0.6,-,6.66
Adrián Embarba,"Almeria,",", AM(CLR),FW",12(8),973,1,3,3,1,1.3,73.4,0.3,1,6.66
Patrik Schick,"Leverkusen,",", AM(R),FW",10(4),941,3,1,-,-,2.4,69.8,2.1,-,6.66
Joël Veltman,"Brighton,",", D(CR),M(R)",18(5),1720,1,1,2,-,0.4,85.3,0.8,-,6.66
Walace,"Udinese,",", DMC",27,2356,-,-,5,-,1,83.6,0.7,-,6.66
Sergio Camello,"Rayo Vallecano,",", FW",22(4),1842,5,4,1,-,2,79.2,0.8,1,6.66
Eljif Elmas,"Napoli,",", M(CLR)",7(19),1007,6,2,3,-,0.8,85.4,-,1,6.66
Hugo Lloris,"Tottenham,",", GK",21,1890,-,-,-,-,-,75.8,0.3,-,6.66
Fabinho,"Liverpool,",", D(CR),DMC",19(5),1687,-,-,6,-,0.4,88,0.8,-,6.66
Kurt Zouma,"West Ham,",", D(CR)",16(1),1386,1,-,-,-,0.7,86.8,2.4,1,6.66
Marco Bizot,"Brest,",", GK",27,2430,-,-,4,-,-,66.8,0.2,1,6.66
Wilfried Singo,"Torino,",", M(R)",15(6),1392,2,1,3,-,1,76,1.7,-,6.66
Christian Günter,"Freiburg,",", D(L),M(L)",24,2126,-,3,5,-,0.9,76.3,0.4,-,6.66
Illan Meslier,"Leeds,",", GK",27,2430,-,-,3,-,-,54.9,0.3,3,6.66
Milan Djuric,"Verona,",", FW",8(10),760,1,-,3,-,0.4,53.7,6.6,1,6.65
Marco Asensio,"Real Madrid,",", AM(CLR),FW",7(13),694,5,3,1,-,1.5,90,0.2,1,6.65
Angeliño,"Hoffenheim,",", D(L),M(L)",21(3),1892,-,6,2,-,0.7,68,0.5,1,6.65
Christian Eriksen,"Man Utd,",", M(CLR),FW",18(1),1499,1,7,3,-,1.2,82.7,0.4,1,6.65
Rico Henry,"Brentford,",", D(L),M(L)",26,2319,-,2,-,-,0.7,73.5,1.1,-,6.65
Vincent Le Goff,"Lorient,",", D(L),M(L)",27,2430,-,-,1,-,0.6,83.1,0.8,-,6.65
Fran García,"Rayo Vallecano,",", D(L)",26,2329,-,2,1,-,0.8,82.2,0.2,-,6.65
Mounaïm El Idrissy,"AC Ajaccio,",", FW",23(2),1938,5,-,8,-,1.8,68.7,3.7,2,6.65
Robin Zentner,"Mainz,",", GK",19,1710,-,-,1,-,-,50.3,0.7,-,6.65
Yvon Mvogo,"Lorient,",", GK",14,1183,-,-,-,-,-,69.6,0.2,-,6.65
Saïd Benrahma,"West Ham,",", AM(CLR)",15(9),1430,4,3,-,-,2.2,83,0.1,-,6.65
Marcel Sabitzer,"Bayern,",", M(CLR),FW",7(8),627,1,1,2,-,1,87.7,0.5,-,6.65
Kevin Gameiro,"Strasbourg,",", FW",22(4),1875,7,-,-,1,1.5,79.9,0.5,1,6.65
Boubacar Kamara,"Aston Villa,",", D(CL),DMC",18(1),1527,-,1,3,-,0.2,85,1.1,-,6.65
David Raum,"RBL,",", D(L),M(LR)",16(7),1386,-,2,4,-,0.5,80.3,0.5,-,6.65
Tyrone Mings,"Aston Villa,",", D(CL)",24,2160,-,2,4,-,0.1,85.2,1.8,1,6.65
Issiaga Sylla,"Toulouse,",", D(LR),M(L)",16(1),1376,-,-,3,-,0.5,78.8,0.7,1,6.65
Christopher Lenz,"Eintracht Frankfurt,",", D(L),M(L)",6(11),747,-,2,-,-,0.5,81.3,0.5,-,6.65
Justin Kluivert,"Valencia,",", AM(LR)",9(10),959,4,-,2,-,1.4,76.5,0.3,2,6.65
Robert Skov,"Hoffenheim,",", D(L),M(LR)",16(3),1239,3,2,1,-,2.1,71.9,0.6,1,6.65
Maximilian Kilman,"Wolves,",", D(C)",28,2520,-,-,3,-,0.3,82.9,2.2,1,6.65
Brian Oliván,"Espanyol,",", D(CL)",23,1922,1,5,6,-,0.5,69.3,0.6,-,6.65
Jorginho,"Chelsea,",", DMC",15(3),1282,2,-,4,-,0.3,85.2,0.4,-,6.65
Martin Braithwaite,"Espanyol,",", AM(CLR),FW",21,1734,8,1,3,1,2,65.3,1.8,2,6.65
Nicolas Pallois,"Nantes,",", D(C)",19,1620,-,-,1,1,0.3,83.9,1.3,1,6.65
Ché Adams,"Southampton,",", AM(CL),FW",22(3),1880,5,3,1,-,1.7,67.1,2.3,1,6.65
Zeki Çelik,"Roma,",", D(R),M(R)",10(6),1011,-,-,5,-,0.3,76,0.6,-,6.65
Luiz Henrique,"Real Betis,",", AM(LR)",15(8),1309,1,1,5,-,1.5,77.6,0.8,2,6.65
Ben Davies,"Tottenham,",", D(CL),M(L)",21(4),1832,2,2,3,-,0.6,84.4,2.1,-,6.65
Geoffrey Kondogbia,"Atletico,",", D(C),DMC",10(6),960,-,2,4,-,0.7,89.2,0.8,-,6.65
Vitinha,"PSG,",", M(C)",21(5),1752,-,1,2,-,0.8,92.2,0.2,-,6.65
Chimy Avila,"Osasuna,",", AM(LR),FW",20(3),1480,7,2,7,1,2.3,58.7,1.4,3,6.64
Nico Elvedi,"Borussia M.Gladbach,",", D(CLR)",23,2026,3,-,1,-,0.6,92.6,1.9,1,6.64
Jackson Porozo,"Troyes,",", D(C)",16(3),1472,2,-,3,-,1,82.1,2.3,1,6.64
Arnau Martinez,"Girona,",", D(R)",21(1),1760,2,2,8,-,0.7,80.9,1.1,-,6.64
Jhon Lucumí,"Bologna,",", D(C)",23,2002,-,1,6,-,0.4,87.9,1.3,-,6.64
Tuta,"Eintracht Frankfurt,",", D(C)",24,2151,1,-,5,-,0.4,80.6,1.5,-,6.64
Castello Lukeba,"Lyon,",", D(C)",24(1),2176,1,-,5,-,0.3,90.4,1,-,6.64
André Gomes,"Lille,",", M(CLR)",13(7),1209,1,2,5,-,0.6,87.3,0.6,-,6.64
Pedro,"Lazio,",", M(CLR),FW",13(12),1453,3,2,1,-,1.2,83.3,-,1,6.64
Silas Katompa Mvumpa,"Stuttgart,",", M(LR),FW",19(3),1571,4,2,3,-,1.5,77.7,0.8,2,6.64
Óscar De Marcos,"Athletic Bilbao,",", D(LR),M(CR)",23(3),1977,-,5,4,-,-,78.8,0.6,-,6.64
Lucas Torró,"Osasuna,",", DMC",24(1),1912,-,-,9,-,0.9,82,2.1,-,6.64
Éderson,"Atalanta,",", M(C)",16(8),1453,1,-,3,-,1,81.7,0.5,-,6.64
Javi Sánchez,"Real Valladolid,",", D(C)",21(1),1779,1,-,10,-,0.4,82.8,1.5,-,6.64
Johann Lepenant,"Lyon,",", DMC",17(6),1576,1,1,3,-,0.7,89.6,0.6,-,6.64
Sandi Lovric,"Udinese,",", AM(C)",17(9),1465,3,3,4,-,1.8,83.7,0.2,-,6.64
Emil Holm,"Spezia,",", M(R)",17(3),1398,1,1,4,-,0.8,61.4,3.3,1,6.64
Manuel Akanji,"Man City,",", D(CR)",17(3),1631,-,1,2,-,0.7,93.5,0.8,-,6.64
Alfonso Espino,"Cadiz,",", D(L)",24(1),2133,-,3,6,-,0.6,65.3,0.9,-,6.64
Berat Djimsiti,"Atalanta,",", D(C)",10(4),935,-,-,2,-,0.2,86.3,1.8,-,6.64
Alessandro Buongiorno,"Torino,",", D(C)",19(4),1744,-,1,8,-,0.7,83.6,2.7,-,6.63
Giorgio Scalvini,"Atalanta,",", D(C)",18(3),1485,2,-,6,-,0.5,80.4,1.3,-,6.63
Perr Schuurs,"Torino,",", D(C)",20(1),1632,-,2,4,-,0.4,87.2,2,-,6.63
David de Gea,"Man Utd,",", GK",26,2340,-,-,-,-,-,68.8,0.1,1,6.63
Jefferson Lerma,"Bournemouth,",", D(R),DMC",26,2281,3,-,4,-,0.8,81.7,1.9,-,6.63
Karim Adeyemi,"Borussia Dortmund,",", AM(R),FW",12(4),806,3,2,5,-,1.3,77.2,0.4,-,6.63
Sean Longstaff,"Newcastle,",", DMC",22(4),2015,1,3,2,-,0.9,81.3,0.8,-,6.63
